event_id,satellite,station_code,start_utc,end_utc,source_name,satellite_inferred
STATCOL_BAK_0,AZ1,BAK,2026-03-02T09:10:11.612466+00:00,2026-03-02T09:12:31.689675+00:00,AZ1_Sun_Outage_2026.01.01-2026.07.01.xlsx,false
STATCOL_NAX_0,AZ1,NAX,2026-03-03T09:06:39.477879+00:00,2026-03-03T09:11:32.400089+00:00,AZ1_Sun_Outage_2026.01.01-2026.07.01.xlsx,false
STATCOL_BAK_0,AZ1,BAK,2026-03-03T09:08:21.568333+00:00,2026-03-03T09:13:56.556736+00:00,AZ1_Sun_Outage_2026.01.01-2026.07.01.xlsx,false
STATCOL_NAX_0,AZ1,NAX,2026-03-04T09:05:49.013214+00:00,2026-03-04T09:11:56.762237+00:00,AZ1_Sun_Outage_2026.01.01-2026.07.01.xlsx,false
STATCOL_BAK_0,AZ1,BAK,2026-03-04T09:07:51.561890+00:00,2026-03-04T09:14:00.456848+00:00,AZ1_Sun_Outage_2026.01.01-2026.07.01.xlsx,false
STATCOL_NAX_0,AZ1,NAX,2026-03-05T09:05:49.558680+00:00,2026-03-05T09:11:29.226191+00:00,AZ1_Sun_Outage_2026.01.01-2026.07.01.xlsx,false
STATCOL_BAK_0,AZ1,BAK,2026-03-05T09:08:12.038387+00:00,2026-03-05T09:13:12.989772+00:00,AZ1_Sun_Outage_2026.01.01-2026.07.01.xlsx,false
STATCOL_NAX_0,AZ1,NAX,2026-03-06T09:07:05.448232+00:00,2026-03-06T09:09:45.503775+00:00,AZ1_Sun_Outage_2026.01.01-2026.07.01.xlsx,false
STATCOL_NAX_0,AZ1,NAX,2026-10-07T08:42:32.763320+00:00,2026-10-07T08:47:28.669387+00:00,AZ1_Sun_Outage_2026.07.01-2027.01.01_Autumn.xlsx,false
STATCOL_BAK_0,AZ1,BAK,2026-10-07T08:45:09.210921+00:00,2026-10-07T08:48:58.665724+00:00,AZ1_Sun_Outage_2026.07.01-2027.01.01_Autumn.xlsx,false
STATCOL_NAX_0,AZ1,NAX,2026-10-08T08:41:39.697794+00:00,2026-10-08T08:47:47.645182+00:00,AZ1_Sun_Outage_2026.07.01-2027.01.01_Autumn.xlsx,false
STATCOL_BAK_0,AZ1,BAK,2026-10-08T08:43:49.701914+00:00,2026-10-08T08:49:44.085001+00:00,AZ1_Sun_Outage_2026.07.01-2027.01.01_Autumn.xlsx,false
STATCOL_NAX_0,AZ1,NAX,2026-10-09T08:41:36.951177+00:00,2026-10-09T08:47:17.175634+00:00,AZ1_Sun_Outage_2026.07.01-2027.01.01_Autumn.xlsx,false
STATCOL_BAK_0,AZ1,BAK,2026-10-09T08:43:29.316900+00:00,2026-10-09T08:49:31.253851+00:00,AZ1_Sun_Outage_2026.07.01-2027.01.01_Autumn.xlsx,false
STATCOL_NAX_0,AZ1,NAX,2026-10-10T08:42:45.408174+00:00,2026-10-10T08:45:36.418000+00:00,AZ1_Sun_Outage_2026.07.01-2027.01.01_Autumn.xlsx,false
STATCOL_BAK_0,AZ1,BAK,2026-10-10T08:44:02.360536+00:00,2026-10-10T08:48:25.911103+00:00,AZ1_Sun_Outage_2026.07.01-2027.01.01_Autumn.xlsx,false
STATCOL_Nax,AZ2,NAX,2026-03-03T09:09:49+00:00,2026-03-03T09:13:29+00:00,Sun_Outage_2026_vernal.txt,true
STATCOL_Bak,AZ2,BAK,2026-03-03T09:11:16+00:00,2026-03-03T09:16:07+00:00,Sun_Outage_2026_vernal.txt,true
STATCOL_Nax,AZ2,NAX,2026-03-04T09:08:30+00:00,2026-03-04T09:14:22+00:00,Sun_Outage_2026_vernal.txt,true
STATCOL_Bak,AZ2,BAK,2026-03-04T09:10:25+00:00,2026-03-04T09:16:32+00:00,Sun_Outage_2026_vernal.txt,true
STATCOL_Nax,AZ2,NAX,2026-03-05T09:08:12+00:00,2026-03-05T09:14:14+00:00,Sun_Outage_2026_vernal.txt,true
STATCOL_Bak,AZ2,BAK,2026-03-05T09:10:25+00:00,2026-03-05T09:16:06+00:00,Sun_Outage_2026_vernal.txt,true
STATCOL_Nax,AZ2,NAX,2026-03-06T09:08:48+00:00,2026-03-06T09:13:09+00:00,Sun_Outage_2026_vernal.txt,true
STATCOL_Bak,AZ2,BAK,2026-03-06T09:11:38+00:00,2026-03-06T09:14:24+00:00,Sun_Outage_2026_vernal.txt,true
STATCOL_Nax,AZ2,NAX,2026-10-07T08:45:39+00:00,2026-10-07T08:49:25+00:00,AZ2_sun_outage_2026_Automnal.txt,false
STATCOL_Bak,AZ2,BAK,2026-10-07T08:48:53+00:00,2026-10-07T08:50:16+00:00,AZ2_sun_outage_2026_Automnal.txt,false
STATCOL_Nax,AZ2,NAX,2026-10-08T08:44:18+00:00,2026-10-08T08:50:11+00:00,AZ2_sun_outage_2026_Automnal.txt,false
STATCOL_Bak,AZ2,BAK,2026-10-08T08:46:35+00:00,2026-10-08T08:52:00+00:00,AZ2_sun_outage_2026_Automnal.txt,false
STATCOL_Nax,AZ2,NAX,2026-10-09T08:43:57+00:00,2026-10-09T08:49:59+00:00,AZ2_sun_outage_2026_Automnal.txt,false
STATCOL_Bak,AZ2,BAK,2026-10-09T08:45:56+00:00,2026-10-09T08:52:06+00:00,AZ2_sun_outage_2026_Automnal.txt,false
STATCOL_Nax,AZ2,NAX,2026-10-10T08:44:29+00:00,2026-10-10T08:48:54+00:00,AZ2_sun_outage_2026_Automnal.txt,false
STATCOL_Bak,AZ2,BAK,2026-10-10T08:46:06+00:00,2026-10-10T08:51:23+00:00,AZ2_sun_outage_2026_Automnal.txt,false
